,frame,id,cam,x,y,tl_x,tl_y,c_x,c_y,w,h,theta,l_x,l_y,r_x,r_y,aa_tl_x,aa_tl_y,aa_w,aa_h
32,32,2,1,848,407,813.3778076171875,344.016845703125,848,407,884.2472534179688,471.92584228515625,0,813.3778076171875,344.016845703125,1697.6250610351562,688.03369140625,813.3778076171875,344.016845703125,1697.6250610351562,688.03369140625
33,33,1,1,805,264,773.1759033203125,211.34156799316406,805,264,838.7482299804688,317.2735900878906,0,773.1759033203125,211.34156799316406,1611.9241333007812,422.6831359863281,773.1759033203125,211.34156799316406,1611.9241333007812,422.6831359863281
33,33,2,1,845,402,810.15283203125,338.6017150878906,845,402,880.40673828125,467.2705078125,0,810.15283203125,338.6017150878906,1690.5595703125,677.2034301757812,810.15283203125,338.6017150878906,1690.5595703125,677.2034301757812
34,34,1,1,805,264,772.017333984375,207.67071533203125,805,264,839.811767578125,321.2608947753906,0,772.017333984375,207.67071533203125,1611.8291015625,415.3414306640625,772.017333984375,207.67071533203125,1611.8291015625,415.3414306640625
34,34,2,1,844,396,807.7034912109375,334.4084777832031,844,396,880.9065551757812,458.11297607421875,0,807.7034912109375,334.4084777832031,1688.6100463867188,668.8169555664062,807.7034912109375,334.4084777832031,1688.6100463867188,668.8169555664062
35,35,1,1,799,267,770.8182983398438,208.749755859375,799,267,828.388916015625,325.33782958984375,0,770.8182983398438,208.749755859375,1599.2072143554688,417.49951171875,770.8182983398438,208.749755859375,1599.2072143554688,417.49951171875
35,35,2,1,844,391,805.3103637695312,329.24774169921875,844,391,882.9967041015625,452.9443359375,0,805.3103637695312,329.24774169921875,1688.3070678710938,658.4954833984375,805.3103637695312,329.24774169921875,1688.3070678710938,658.4954833984375
36,36,1,1,797,268,769.5880737304688,208.36370849609375,797,268,824.4572143554688,329.36224365234375,0,769.5880737304688,208.36370849609375,1594.0452880859375,416.7274169921875,769.5880737304688,208.36370849609375,1594.0452880859375,416.7274169921875
36,36,2,1,843,384,802.8658447265625,325.1568298339844,843,384,884.7733154296875,444.00115966796875,0,802.8658447265625,325.1568298339844,1687.63916015625,650.3136596679688,802.8658447265625,325.1568298339844,1687.63916015625,650.3136596679688
37,37,1,1,793,269,768.32763671875,205.6504364013672,793,269,818.3760986328125,333.09478759765625,0,768.32763671875,205.6504364013672,1586.7037353515625,411.3008728027344,768.32763671875,205.6504364013672,1586.7037353515625,411.3008728027344
37,37,2,1,843,378,800.0695190429688,321.9236145019531,843,378,886.8362426757812,435.1903991699219,0,800.0695190429688,321.9236145019531,1686.90576171875,643.8472290039062,800.0695190429688,321.9236145019531,1686.90576171875,643.8472290039062
38,38,1,1,793,273,769.1079711914062,209.79177856445312,793,273,818.2413330078125,336.6197204589844,0,769.1079711914062,209.79177856445312,1587.3493041992188,419.58355712890625,769.1079711914062,209.79177856445312,1587.3493041992188,419.58355712890625
38,38,2,1,842,374,797.0338134765625,319.9778747558594,842,374,888.22998046875,428.7927551269531,0,797.0338134765625,319.9778747558594,1685.2637939453125,639.9557495117188,797.0338134765625,319.9778747558594,1685.2637939453125,639.9557495117188
39,39,1,1,797,278,770.424072265625,215.82415771484375,797,278,824.9387817382812,341.6554260253906,0,770.424072265625,215.82415771484375,1595.3628540039062,431.6483154296875,770.424072265625,215.82415771484375,1595.3628540039062,431.6483154296875
39,39,2,1,841,371,795.4802856445312,316.0981750488281,841,371,886.9904174804688,427.0425720214844,0,795.4802856445312,316.0981750488281,1682.470703125,632.1963500976562,795.4802856445312,316.0981750488281,1682.470703125,632.1963500976562
40,40,1,1,797,291,770.4716186523438,233.80264282226562,797,291,824.0372924804688,348.233642578125,0,770.4716186523438,233.80264282226562,1594.5089111328125,467.60528564453125,770.4716186523438,233.80264282226562,1594.5089111328125,467.60528564453125
40,40,2,1,841,368,793.926025390625,313.4150695800781,841,368,889.2809448242188,423.14111328125,0,793.926025390625,313.4150695800781,1683.2069702148438,626.8301391601562,793.926025390625,313.4150695800781,1683.2069702148438,626.8301391601562
41,41,1,1,841,365,794.1217651367188,309.89239501953125,841,365,889.1446533203125,421.7789001464844,0,794.1217651367188,309.89239501953125,1683.2664184570312,619.7847900390625,794.1217651367188,309.89239501953125,1683.2664184570312,619.7847900390625
1,41,3,1,796,294,770.8933715820312,230.92654418945312,796,294,822.9866333007812,357.653564453125,0,770.8933715820312,230.92654418945312,1593.8800048828125,461.85308837890625,770.8933715820312,230.92654418945312,1593.8800048828125,461.85308837890625
2,42,3,1,841,362,795.4963989257812,306.5658874511719,841,362,888.2911376953125,417.7411804199219,0,795.4963989257812,306.5658874511719,1683.7875366210938,613.1317749023438,795.4963989257812,306.5658874511719,1683.7875366210938,613.1317749023438
1,42,4,1,785,299,768.3328857421875,232.11444091796875,785,299,803.1522216796875,366.0523681640625,0,768.3328857421875,232.11444091796875,1571.485107421875,464.2288818359375,768.3328857421875,232.11444091796875,1571.485107421875,464.2288818359375
3,43,3,1,783,309,766.4459838867188,244.48428344726562,783,309,801.0614624023438,374.724609375,0,766.4459838867188,244.48428344726562,1567.5074462890625,488.96856689453125,766.4459838867188,244.48428344726562,1567.5074462890625,488.96856689453125
2,43,4,1,843,355,795.5717163085938,301.17498779296875,843,355,892.2587890625,409.26959228515625,0,795.5717163085938,301.17498779296875,1687.8305053710938,602.3499755859375,795.5717163085938,301.17498779296875,1687.8305053710938,602.3499755859375
4,44,3,1,782,319,763.1178588867188,255.06729125976562,782,319,802.0859985351562,383.36773681640625,0,763.1178588867188,255.06729125976562,1565.203857421875,510.13458251953125,763.1178588867188,255.06729125976562,1565.203857421875,510.13458251953125
3,44,4,1,842,352,793.8513793945312,297.16510009765625,842,352,890.9866333007812,407.01727294921875,0,793.8513793945312,297.16510009765625,1684.8380126953125,594.3302001953125,793.8513793945312,297.16510009765625,1684.8380126953125,594.3302001953125
5,45,3,1,836,343,788.3003540039062,282.619873046875,836,343,885.0062255859375,404.7784118652344,0,788.3003540039062,282.619873046875,1673.3065795898438,565.23974609375,788.3003540039062,282.619873046875,1673.3065795898438,565.23974609375
4,45,4,1,783,329,761.6325073242188,266.94952392578125,783,329,804.4009399414062,392.4396667480469,0,761.6325073242188,266.94952392578125,1566.033447265625,533.8990478515625,761.6325073242188,266.94952392578125,1566.033447265625,533.8990478515625
6,46,3,1,833,336,785.9702758789062,270.9291687011719,833,336,881.2197875976562,401.44293212890625,0,785.9702758789062,270.9291687011719,1667.1900634765625,541.8583374023438,785.9702758789062,270.9291687011719,1667.1900634765625,541.8583374023438
5,46,4,1,783,333,761.1539916992188,268.8062438964844,783,333,806.7161865234375,398.98773193359375,0,761.1539916992188,268.8062438964844,1567.8701782226562,537.6124877929688,761.1539916992188,268.8062438964844,1567.8701782226562,537.6124877929688
7,47,3,1,834,341,788.2685546875,279.32232666015625,834,341,879.749267578125,403.2982177734375,0,788.2685546875,279.32232666015625,1668.017822265625,558.6446533203125,788.2685546875,279.32232666015625,1668.017822265625,558.6446533203125
6,47,4,1,784,342,760.2780151367188,278.74298095703125,784,342,809.4508056640625,405.5866394042969,0,760.2780151367188,278.74298095703125,1569.7288208007812,557.4859619140625,760.2780151367188,278.74298095703125,1569.7288208007812,557.4859619140625
8,48,3,1,832,344,786.8101196289062,285.6417236328125,832,344,877.9512329101562,404.28424072265625,0,786.8101196289062,285.6417236328125,1664.7613525390625,571.283447265625,786.8101196289062,285.6417236328125,1664.7613525390625,571.283447265625
7,48,4,1,788,349,760.150390625,285.8194885253906,788,349,817.5304565429688,413.8305969238281,0,760.150390625,285.8194885253906,1577.6808471679688,571.6389770507812,760.150390625,285.8194885253906,1577.6808471679688,571.6389770507812
9,49,3,1,830,342,785.32080078125,281.6932067871094,830,342,875.6253662109375,403.77630615234375,0,785.32080078125,281.6932067871094,1660.9461669921875,563.3864135742188,785.32080078125,281.6932067871094,1660.9461669921875,563.3864135742188
8,49,4,1,789,352,760.3551025390625,285.05780029296875,789,352,819.0147094726562,420.3334655761719,0,760.3551025390625,285.05780029296875,1579.3698120117188,570.1156005859375,760.3551025390625,285.05780029296875,1579.3698120117188,570.1156005859375
10,50,3,1,828,341,784.6165771484375,279.7901306152344,828,341,871.68359375,403.6438293457031,0,784.6165771484375,279.7901306152344,1656.3001708984375,559.5802612304688,784.6165771484375,279.7901306152344,1656.3001708984375,559.5802612304688
9,50,4,1,784,358,759.4164428710938,290.1869201660156,784,358,809.2793579101562,426.690185546875,0,759.4164428710938,290.1869201660156,1568.69580078125,580.3738403320312,759.4164428710938,290.1869201660156,1568.69580078125,580.3738403320312
11,51,3,1,828,340,784.4136962890625,277.5279846191406,828,340,871.8035278320312,403.0909423828125,0,784.4136962890625,277.5279846191406,1656.2172241210938,555.0559692382812,784.4136962890625,277.5279846191406,1656.2172241210938,555.0559692382812
10,51,4,1,780,363,758.7694702148438,294.4606628417969,780,363,803.177734375,432.675537109375,0,758.7694702148438,294.4606628417969,1561.9472045898438,588.9213256835938,758.7694702148438,294.4606628417969,1561.9472045898438,588.9213256835938
12,52,3,1,827,338,784.0235595703125,274.77447509765625,827,338,871.1547241210938,402.41253662109375,0,784.0235595703125,274.77447509765625,1655.1782836914062,549.5489501953125,784.0235595703125,274.77447509765625,1655.1782836914062,549.5489501953125
11,52,4,1,777,370,757.0546264648438,302.98492431640625,777,370,798.3115234375,438.9025573730469,0,757.0546264648438,302.98492431640625,1555.3661499023438,605.9698486328125,757.0546264648438,302.98492431640625,1555.3661499023438,605.9698486328125
13,53,3,1,824,336,782.9650268554688,271.90130615234375,824,336,865.7459106445312,401.9830017089844,0,782.9650268554688,271.90130615234375,1648.7109375,543.8026123046875,782.9650268554688,271.90130615234375,1648.7109375,543.8026123046875
12,53,4,1,775,376,756.8723754882812,308.1179504394531,775,376,794.37646484375,444.5998229980469,0,756.8723754882812,308.1179504394531,1551.2488403320312,616.2359008789062,756.8723754882812,308.1179504394531,1551.2488403320312,616.2359008789062
14,54,3,1,820,335,782.89794921875,270.22845458984375,820,335,857.6714477539062,400.81805419921875,0,782.89794921875,270.22845458984375,1640.5693969726562,540.4569091796875,782.89794921875,270.22845458984375,1640.5693969726562,540.4569091796875
13,54,4,1,773,384,756.66064453125,318.68304443359375,773,384,791.0755004882812,450.1894836425781,0,756.66064453125,318.68304443359375,1547.7361450195312,637.3660888671875,756.66064453125,318.68304443359375,1547.7361450195312,637.3660888671875
15,55,3,1,819,333,782.5817260742188,268.73223876953125,819,333,857.2596435546875,398.46978759765625,0,782.5817260742188,268.73223876953125,1639.8413696289062,537.4644775390625,782.5817260742188,268.73223876953125,1639.8413696289062,537.4644775390625
14,55,4,1,772,391,757.2435302734375,324.9932556152344,772,391,788.4674682617188,457.1932678222656,0,757.2435302734375,324.9932556152344,1545.7109985351562,649.9865112304688,757.2435302734375,324.9932556152344,1545.7109985351562,649.9865112304688
16,56,3,1,815,332,781.2117309570312,267.96875,815,332,850.7618408203125,396.32891845703125,0,781.2117309570312,267.96875,1631.9735717773438,535.9375,781.2117309570312,267.96875,1631.9735717773438,535.9375
15,56,4,1,772,394,756.5401611328125,326.427490234375,772,394,788.3346557617188,462.1177978515625,0,756.5401611328125,326.427490234375,1544.8748168945312,652.85498046875,756.5401611328125,326.427490234375,1544.8748168945312,652.85498046875
17,57,3,1,813,328,781.2481079101562,266.5033874511719,813,328,846.1439208984375,391.0641174316406,0,781.2481079101562,266.5033874511719,1627.3920288085938,533.0067749023438,781.2481079101562,266.5033874511719,1627.3920288085938,533.0067749023438
16,57,4,1,771,399,756.4185180664062,331.91168212890625,771,399,787.0155639648438,467.30609130859375,0,756.4185180664062,331.91168212890625,1543.43408203125,663.8233642578125,756.4185180664062,331.91168212890625,1543.43408203125,663.8233642578125
18,58,3,1,813,327,780.2569580078125,263.7706298828125,813,327,846.4672241210938,391.01239013671875,0,780.2569580078125,263.7706298828125,1626.7241821289062,527.541259765625,780.2569580078125,263.7706298828125,1626.7241821289062,527.541259765625
17,58,4,1,771,404,756.0523681640625,337.26824951171875,771,404,786.9202880859375,472.52996826171875,0,756.0523681640625,337.26824951171875,1542.97265625,674.5364990234375,756.0523681640625,337.26824951171875,1542.97265625,674.5364990234375
19,59,3,1,811,325,779.76953125,261.86883544921875,811,325,843.9645385742188,389.98992919921875,0,779.76953125,261.86883544921875,1623.7340698242188,523.7376708984375,779.76953125,261.86883544921875,1623.7340698242188,523.7376708984375
18,59,4,1,771,408,755.5374145507812,341.01934814453125,771,408,787.3579711914062,476.84954833984375,0,755.5374145507812,341.01934814453125,1542.8953857421875,682.0386962890625,755.5374145507812,341.01934814453125,1542.8953857421875,682.0386962890625
20,60,3,1,810,321,779.543701171875,260.3945007324219,810,321,841.5382690429688,381.8961181640625,0,779.543701171875,260.3945007324219,1621.0819702148438,520.7890014648438,779.543701171875,260.3945007324219,1621.0819702148438,520.7890014648438
19,60,4,1,771,414,755.2554321289062,347.0534362792969,771,414,787.2083740234375,481.10638427734375,0,755.2554321289062,347.0534362792969,1542.4638061523438,694.1068725585938,755.2554321289062,347.0534362792969,1542.4638061523438,694.1068725585938
21,61,3,1,809,321,778.1361083984375,259.1000671386719,809,321,840.3757934570312,383.8798828125,0,778.1361083984375,259.1000671386719,1618.5119018554688,518.2001342773438,778.1361083984375,259.1000671386719,1618.5119018554688,518.2001342773438
20,61,4,1,771,417,754.8169555664062,350.00164794921875,771,417,787.31298828125,485.3678283691406,0,754.8169555664062,350.00164794921875,1542.1299438476562,700.0032958984375,754.8169555664062,350.00164794921875,1542.1299438476562,700.0032958984375
